Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
127;ROCAFUERTE;VENTA DE MAÍZ VÉLEZ;San Jacinto;1,45;1;2,2;1,6;1,18;1,57;3,86;3,67;2;4,11;5;5;2,86;3,67;2,25;48 HORAS;1,43;3;1;2,18;5;2;3,67;1;1,5;1,6;2,33;2;800;1,75;4,72
128;ROCAFUERTE;MECÁNICA ROMI;Calle Atanacio Santos;1,73;1,4;2,4;1,8;1,91;1,57;4,14;4,33;1;3,67;5;4,25;2,14;2,17;1,88;53 HORAS;2;3,2;1;2,09;5;1,33;3,67;1;1,33;1,8;2,67;2;1500;1,75;4,78
129;ROCAFUERTE;TIENDA CEVALLOS;Calle 30 de septiembre y Eloy Alfaro;1,82;1,6;3,2;1,2;1,91;1,86;4,14;4,33;2;4,11;5;5;3;3,67;2;56 HORAS;1,86;3;1;2,18;5;2;3,67;1;1,17;1,6;2,67;2;900;1,83;4,72
130;SUCRE;TIENDA MACAY;Cañitas de Charapoto;1,64;1,6;2,4;1;1,36;1,57;3,86;4,33;2;3,67;5;5;3,14;3,67;2;53 HORAS;1,57;3,2;1;1,73;5;2;3,67;1;1,17;2;2;2;1100;1,75;4,78
131;SUCRE;PELUQUERIA SALAZAR;Calle Eloy Alfaro y Manabí (Charapoto);1,73;1,6;2,6;1;1,64;1,14;4,43;4,33;1;4,11;2,29;3,88;2,71;3;1,88;48 HORAS;1,43;3,2;1;2,09;5;2;3,67;1;1,33;1,8;2,33;1;800;1,75;4,72
132;ROCAFUERTE;TALLER MECÁNICO ZAMBRANO;Atahualpa y Atanacio Santos;1,55;1;2,4;1;1,36;1,57;4,14;4,33;2;3,67;5;3,75;2,29;2,67;2;50 HORAS;2;3,2;1;1,82;5;1,33;3,67;1;1,17;2;2,17;2;1000;2;4,78
133;ROCAFUERTE;COMERCIO DE ARROZ LOOR;El Cerrito;1,73;1,6;2,8;1;1,27;1,86;4,14;4,33;2;3,67;5;5;3;3,67;1,88;48 HORAS;1,57;3,4;1;2,18;5;2;3,67;1;1,33;2,2;2;2;1200;1,92;4,78
134;ROCAFUERTE;VENTA DE COCO;Calle Pichincha;1,91;1,4;2,8;1,4;2,09;1,57;4,14;3,83;2;4,11;4,43;5;2,86;3,17;2;53 HORAS;1,71;3,2;1;2,27;5;1,5;4;1;1,33;2;2,33;3;1000;1,67;4,83
135;ROCAFUERTE;SERVICIOS CONTABLES GARCÍA;AvSucre;1,82;1;2,2;1;1,18;2,29;3,14;3,5;2;3,67;3,14;5;3,43;3;1,63;48 HORAS;1,71;3,6;1,5;1,45;5;1,5;3,67;1;1,17;2,2;2,5;2;1000;2;4
136;ROCAFUERTE;VENTA DE ARROZ RIVERA;Puerto Loor ;2;2;2,8;1,4;2,27;1,71;2,71;3,5;2;3,67;3,57;5;2,29;3,67;2,13;48 HORAS;1,57;3,6;1,17;2,18;5;2,17;3,67;1;1,67;2;3;2;1000;1,83;4
137;SUCRE;BAZAR PINTO;Eloy Alfaro;1,55;1,6;2,8;1,6;1,18;1,14;3,14;3,5;1;3;4;5;2,29;3,17;1,88;48 HORAS;1,71;3,6;1;1,64;5;2,17;3,67;1;1,5;2,4;2,17;2;1000;1,92;4
138;ROCAFUERTE;VENTA DE GALLINAS CRIOLLAS DELGADO;Tres Charcos;1,55;1,4;2,8;1,6;1,64;1,71;3,14;3,5;2;3;4;5;2,43;3,33;1,63;50 HORAS;1,71;3;1;1,82;5;1,83;3,67;1;1,17;2,2;2;2;1000;1,67;4
